Date,Accor,Crédit agricole,Air liquide,Airbus,Danone,BNP Paribas,Bureau Veritas,Carrefour,Capgemini,Axa,Vinci,Dassault Systèmes,EssilorLuxottica,Bouygues,Engie,Euronext,Eurofins Scientific,Eiffage,Société générale,Thales,Kering,Legrand,LVMH,Michelin,MT.AS,L'Oréal,Orange,Publicis Groupe,Pernod Ricard,Hermès International,Renault,Safran,Sanofi,Saint-Gobain,Stellantis,STMicroelectronics,Schneider Electric,TotalEnergies,Unibail-Rodamco-Westfield,Veolia
2022-11-14,23.088558197021484,7.678008556365967,118.13666534423828,106.96692657470703,45.53527069091797,41.526214599609375,24.102691650390625,13.83155632019043,170.7037811279297,22.469738006591797,83.64266967773438,36.63691329956055,157.80313110351562,25.95752716064453,10.875486373901367,63.88577651977539,68.462158203125,82.45735931396484,20.957101821899414,105.66275787353516,489.84405517578125,74.91307067871094,656.61962890625,23.82536506652832,24.62736701965332,330.5272216796875,7.816661357879639,56.084285736083984,164.4769287109375,1404.6824951171875,29.840084075927734,105.99462890625,74.54984283447266,41.68902587890625,11.328001976013184,35.74620056152344,133.89810180664062,46.96956253051758,,21.05716896057129
2022-11-15,23.24394416809082,7.690768241882324,118.20561981201172,108.40756225585938,45.20431900024414,41.75700378417969,24.07540512084961,13.890503883361816,171.2688751220703,22.410825729370117,84.62000274658203,36.65163040161133,158.45193481445312,26.144515991210938,10.965593338012695,64.53108215332031,67.48194122314453,83.49433898925781,21.16962432861328,108.89590454101562,494.72625732421875,75.0821762084961,659.8994750976562,23.829797744750977,24.50980567932129,326.9500732421875,7.823875427246094,55.709320068359375,161.20050048828125,1410.9859619140625,30.30462646484375,108.28242492675781,75.02857208251953,41.43189239501953,11.435032844543457,36.37943649291992,133.74630737304688,47.67922592163086,,21.822721481323242
2022-11-16,22.512714385986328,7.601451396942139,117.826416015625,108.2938232421875,45.59873962402344,41.45458984375,23.529685974121094,13.650503158569336,168.67889404296875,22.465526580810547,84.60223388671875,35.876407623291016,158.73001098632812,25.89803123474121,10.892285346984863,63.682960510253906,64.7142333984375,83.2082748413086,20.714223861694336,111.75419616699219,486.4085388183594,73.61660766601562,654.6516723632812,23.48867416381836,23.56458854675293,329.6209716796875,7.822272777557373,54.923675537109375,161.98683166503906,1398.8641357421875,29.18425941467285,108.8252944946289,75.10836791992188,39.957916259765625,11.205230712890625,35.46101379394531,131.43150329589844,48.05881881713867,,21.77872657775879
2022-11-17,22.384748458862305,7.625375747680664,116.25792694091797,107.15647888183594,45.24965286254883,41.78883743286133,23.229537963867188,13.583134651184082,168.2550506591797,22.410825729370117,84.08690643310547,35.62126922607422,156.96893310546875,24.21512794494629,10.939630508422852,63.99639129638672,63.9069938659668,82.86856842041016,20.88770866394043,110.02047729492188,488.578369140625,73.46629333496094,652.9649658203125,23.027936935424805,23.517562866210938,330.5749206542969,7.801428318023682,54.941532135009766,160.89466857910156,1409.53125,29.858299255371094,108.90283966064453,74.913330078125,39.829345703125,11.109217643737793,35.48517608642578,131.29867553710938,47.390419006347656,,21.453144073486328
2022-11-18,22.36646842956543,7.739413261413574,117.7574691772461,108.65397644042969,45.23151779174805,42.42549514770508,23.647924423217773,13.684188842773438,167.68997192382812,22.78952980041504,84.79769897460938,35.56729507446289,160.67648315429688,24.55510711669922,10.980866432189941,64.64170837402344,63.676353454589844,83.31554412841797,20.844337463378906,109.64562225341797,498.25225830078125,74.63123321533203,654.27685546875,23.276029586791992,23.583398818969727,332.0534973144531,7.861555576324463,55.530765533447266,162.2489471435547,1425.5322265625,30.099679946899414,111.22941589355469,76.27860260009766,40.69719696044922,11.332722663879395,35.76554489135742,134.9796142578125,47.365657806396484,,21.840322494506836
2022-11-21,22.311626434326172,7.740211009979248,117.72300720214844,108.21800231933594,45.91608810424805,41.876373291015625,23.684307098388672,13.701030731201172,167.45452880859375,22.709583282470703,85.54403686523438,35.39556884765625,162.06680297851562,24.937585830688477,11.080137252807617,64.07014465332031,63.830108642578125,83.7803955078125,20.748920440673828,111.37934875488281,496.8961181640625,74.1051254272461,655.3076782226562,23.253877639770508,23.414104461669922,332.196533203125,7.92970085144043,55.63789749145508,165.1322021484375,1432.805419921875,30.413930892944336,111.22941589355469,77.28927612304688,40.550262451171875,11.447624206542969,35.717201232910156,133.57554626464844,45.90507507324219,,21.989913940429688
2022-11-22,22.22936248779297,7.7362236976623535,117.8091812133789,108.12322235107422,45.961421966552734,41.73312759399414,23.73887825012207,13.747346878051758,168.58470153808594,22.861064910888672,85.51737976074219,35.243465423583984,160.9545440673828,24.963085174560547,11.063337326049805,64.6232681274414,63.81089401245117,84.20948791503906,20.657840728759766,113.11304473876953,490.8386535644531,74.3681869506836,653.9957885742188,23.59499740600586,23.987817764282227,328.85791015625,7.924088954925537,56.58424377441406,164.87008666992188,1419.2288818359375,30.39116096496582,112.02432250976562,77.36905670166016,40.968116760253906,11.559377670288086,35.741371154785156,133.63246154785156,47.91852951049805,,21.937116622924805
2022-11-23,22.339048385620117,7.735426425933838,120.36013793945312,107.81993103027344,45.86168670654297,41.97187805175781,23.575162887573242,13.814715385437012,168.9143524169922,22.831607818603516,85.5262680053711,35.51332092285156,162.3448944091797,25.048080444335938,10.988502502441406,65.12107849121094,64.329833984375,84.15584564208984,20.883373260498047,114.09706115722656,493.731689453125,75.1385498046875,657.7442016601562,23.66588020324707,23.799718856811523,332.8642883300781,7.913668155670166,56.33426284790039,165.8311767578125,1442.0179443359375,30.249975204467773,112.81922912597656,76.73074340820312,41.399749755859375,11.397257804870605,36.13291549682617,134.7898712158203,47.53894805908203,,21.989913940429688
2022-11-24,22.64982032775879,7.756160259246826,121.48047637939453,107.3460464477539,45.76194763183594,42.36183166503906,23.356874465942383,13.953661918640137,169.19686889648438,22.95363426208496,86.00604248046875,35.5574836730957,161.97413635253906,25.294565200805664,11.034318923950195,65.6004638671875,65.92510223388672,84.281005859375,21.134925842285156,114.56562042236328,495.1783447265625,75.1197509765625,658.0253295898438,23.758913040161133,23.842041015625,335.10595703125,7.959364891052246,56.58424377441406,166.57382202148438,1442.0179443359375,31.201833724975586,112.87740325927734,77.12969970703125,41.418113708496094,11.529471397399902,36.17641830444336,135.45394897460938,47.71222686767578,,22.11310577392578
2022-11-25,22.65896224975586,7.765730381011963,121.94586181640625,107.87680053710938,45.76194763183594,42.44141387939453,23.447826385498047,13.932608604431152,169.4323272705078,22.94942855834961,86.25483703613281,35.611454010009766,162.3912353515625,25.320066452026367,11.017520904541016,65.32389068603516,65.5983657836914,84.83525085449219,21.07420539855957,115.0810546875,493.0085144042969,75.30765533447266,656.151123046875,23.767776489257812,24.01133155822754,334.1043395996094,7.9609694480896,56.7806510925293,165.51995849609375,1433.77490234375,30.76006317138672,113.63353729248047,77.60842895507812,41.60637664794922,11.527898788452148,35.95405578613281,135.01756286621094,48.223854064941406,,22.051509857177734
